match_id,map_id,game_number,tournament_name,tournament_url,tier,tournament_stage,liquipedia_path,match_date,team1,team2,winner,duration,team1_picks,team1_bans,team2_picks,team2_bans
MATCH023b28188c,MAP988bcbf6c90a,3,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-20,Chaotic Samurai,Valhalla,1,10m 54s,"ruby, harith, nana, iri, mino","wan, nolan, guin, ixia, bruno","cici, martis, lunox, claude, mathil","fanny, joy, valen, lance, hanzo"
MATCH540931d9a8,MAPf9bd96067987,1,WSL Season 8,https://liquipedia.net/mobilelegends/WSL/Season_8,B-Tier,Regular Season,WSL/Season 8/Regular Season,2024-01-20,bigetron era,evx foes digi,1,12m 40s,"teri, guin, nana, brody, grock","mathil, wan, nolan, akai, baxia","cici, martis, lylia, claude, mino","joy, diggie, lunox, pharsa, kaja"
MATCH37d54ef4c9,MAPb0ab7dd8d2de,2,WSL Season 8,https://liquipedia.net/mobilelegends/WSL/Season_8,B-Tier,Regular Season,WSL/Season 8/Regular Season,2024-01-20,gpx basreng,tigerwong white eagles,1,10m 21s,"arlot, fanny, fara, natan, mathil","sun, xborg, lunox, mino, tigreal","teri, nolan, valen, wan, khufra","nana, angela, phoveus, claude, irithel"
MATCH2429ccfad3,MAP9ebfadc764d3,2,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-20,Diversity Esports,OSJA Esports,2,11m 12s,"yu, joy, valen, bea, kaja","wan, guin, mathil, mino, tig","arlot, nolan, fara, brody, khu","phove, nana, angela, teri, cici"
MATCH2429ccfad3,MAP03475ed2ee26,1,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-20,Diversity Esports,OSJA Esports,2,11m 22s,"teri, martis, lunox, iri, arlot","guin, mathil, joy, fred, barats","ruby, lance, nana, claude, grock","wan, angela, nolan, mino, tig"
MATCH81793cf260,MAPa47551cb44d7,2,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-20,Evil League,Yamakiri Esports,2,18m 59s,"arlot, julian, lapu, karrie, mino","nana, tig, wan, fara, teri","thamuz, joy, nova, claude, guin","mathil, nolan, brody, martis, lunox"
MATCH81793cf260,MAPd207e569dfa0,1,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-20,Evil League,Yamakiri Esports,2,15m 5s,"yu, popol, lunox, claude, floryn","tig, wan, nolan, joy, mino","arlot, dyr, nana, karrie, guin","mathil, fara, brody, martis, fred"
MATCH540931d9a8,MAP47a9e38835ff,2,WSL Season 8,https://liquipedia.net/mobilelegends/WSL/Season_8,B-Tier,Regular Season,WSL/Season 8/Regular Season,2024-01-20,bigetron era,evx foes digi,1,12m 17s,"lapu, nolan, esme, claude, hilda","nana, fara, angela, teri, cici","uranus, guin, lylia, brody, diggie","mathil, wan, joy, nova, ruby"
MATCH023b28188c,MAP5d42790c0d0b,2,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-20,Chaotic Samurai,Valhalla,1,22m 38s,"ruby, bane, lunox, iri, mino","wan, guin, nolan, ixia, martis","arlot, baxia, fara, brody, mathil","fanny, joy, nana, valen, hanzo"
MATCH023b28188c,MAPdd6f49d56a4f,1,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-20,Chaotic Samurai,Valhalla,2,21m 48s,"ruby, bene, lunox, iri, mino","wan, guin, fara, bruno, valen","arlot, nolan, nova, ixia, mathil","fanny, joy, nana, claude, kadita"
MATCHdeba26d406,MAP90ef58fab674,3,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-20,Team Seven,Super Logic,2,15m 39s,"arlot, dyr, nana, claude, mathil","valen, nolan, lylia, ixia, brody","teri, joy, lunox, karrie, mino","cici, wan, fara, nova, fanny"
MATCH37d54ef4c9,MAP4eb015895aa7,1,WSL Season 8,https://liquipedia.net/mobilelegends/WSL/Season_8,B-Tier,Regular Season,WSL/Season 8/Regular Season,2024-01-20,gpx basreng,tigerwong white eagles,1,13m 34s,"paqui, martis, angela, natan, teri","sun, xborg, wan, haya, lunox","arlot, akai, nana, karrie, mino","phoveus, mathil, nolan, claude, lylia"
MATCHdeba26d406,MAP2e3124207368,1,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-20,Team Seven,Super Logic,1,13m 32s,"arlot, lunox, nova, wan, mino","nolan, valen, fara, phove","teri, martis, nana, claude, guin","cici, tig, mathil"
MATCH4e12161a8d,MAP2553c1536323,1,WSL Season 8,https://liquipedia.net/mobilelegends/WSL/Season_8,B-Tier,Regular Season,WSL/Season 8/Regular Season,2024-01-20,rrq mika,mbr delphyne,2,10m 4s,"yu, dyr, angela, claude, mathil","nolan, guin, lunox, brody, bruno","cici, baxia, valen, karrie, mino","martis, wan, joy, luo, teri"
MATCH4e12161a8d,MAP792142fc3546,2,WSL Season 8,https://liquipedia.net/mobilelegends/WSL/Season_8,B-Tier,Regular Season,WSL/Season 8/Regular Season,2024-01-20,rrq mika,mbr delphyne,2,18m 42s,"cici, guin, valen, claude, kaja","nolan, angela, lunox, nana, fara","arlot, joy, pharsa, wan, khufra","brody, mino, martis, luo, karrie"
MATCHdeba26d406,MAP75a077929beb,2,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-20,Team Seven,Super Logic,2,14m 32s,"khaleed, martis, nova, claude, arlot","nolan, mathil, fara","teri, lance, valen, wan, khu","cici, joy, lunox"
MATCHfa74722df9,MAP729b648e54ab,1,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-21,Phoenix Eraaa,Silent Assassin,2,12m 56s,"arlot, baxia, lylia, claude, mathil","fanny, cici, diggie, brody, floryn","ruby, alice, fara, karrie, khuf","nolan, lunox, wan, dyr, terizla"
MATCHfa74722df9,MAPe8a8b7044e06,2,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-21,Phoenix Eraaa,Silent Assassin,2,17m 19s,"minsi, guin, nova, bruno, mathil","alice, fara, diggie, khuf, akai","ruby, helcurt, lylia, karrie, mino","nolan, wan, lunox, terizla, dyr"
MATCH9fe9c5ef1c,MAP24309870d501,1,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-21,Vanguard Glacier,Team SV,2,14m 42s,"lapu, baxia, lunox, brody, tigreal","joy, guin, wan, diggie, mino","ruby, xborg, nana, karrie, chou","claude, nolan, mathil, nova, lylia"
MATCH9fe9c5ef1c,MAP33b88b9dfb0a,2,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-21,Vanguard Glacier,Team SV,2,15m 17s,"lapu, martis, nana, irithel, mathil","joy, lunox, wan, ruby, khuf","yu, guin, fara, karrie, nata","claude, nolan, tigreal, bruno, terizla"
MATCH3d517a6062,MAP0a998a8800f9,1,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-21,Duck Rice Esport,Avenger,1,18m 11s,"thamuz, alice, fara, claude, mathil","nana, guin, wan, dyr, tig","teri, martis, valen, bruno, mino","fanny, joy, nolan, lance, baxia"
MATCH3d517a6062,MAP2a2a97890b27,2,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-21,Duck Rice Esport,Avenger,1,18m 7s,"lapu, alice, angela, claude, arlot","wan, mathil, guin, bruno, karrie","thamuz, fred, nana, layla, grock","fanny, joy, nolan, teri, lylia"
MATCH176585ea7b,MAPef8ecbfa0532,2,WSL Season 8,https://liquipedia.net/mobilelegends/WSL/Season_8,B-Tier,Regular Season,WSL/Season 8/Regular Season,2024-01-21,bigetron era,mbr delphyne,1,15m 33s,"yu, baxia, nova, claude, mathil","joy, fara, wan, kaja, teri","arlot, fanny, lunox, brody, grock","guin, cici, mino, kadita, nana"
MATCHb44dde74b1,MAP9cdeb8141630,1,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-21,JRS Esports,404 Gaming,2,14m 3s,"arlot, baxia, nana, claude, mino","joy, mathil, fara, lunox, guin","yu, nolan, angela, karrie, grock","wan, cici, valen, thamuz, lance"
MATCH176585ea7b,MAPa04bd9a2c69b,1,WSL Season 8,https://liquipedia.net/mobilelegends/WSL/Season_8,B-Tier,Regular Season,WSL/Season 8/Regular Season,2024-01-21,bigetron era,mbr delphyne,1,17m 55s,"teri, martis, nova, bea, mino","joy, mathil, nana, diggie, valen","xborg, baxia, angela, claude, arlot","wan, cici, guin, brody, karrie"
MATCH76b574df74,MAP2c47e9275800,2,WSL Season 8,https://liquipedia.net/mobilelegends/WSL/Season_8,B-Tier,Regular Season,WSL/Season 8/Regular Season,2024-01-21,gpx basreng,kraken nigra,1,21m 40s,"teri, fanny, cecil, karrie, mathil","nana, lunox, cici, tigreal, mino","arlot, martis, lylia, clint, khufra","natan, wan, joy, claude, ixia"
MATCH76b574df74,MAP4d9eee36b0ce,1,WSL Season 8,https://liquipedia.net/mobilelegends/WSL/Season_8,B-Tier,Regular Season,WSL/Season 8/Regular Season,2024-01-21,gpx basreng,kraken nigra,1,10m 24s,"arlot, nolan, lylia, wan, estes","cici, lunox, nana, tigreal, kaja","phoveus, joy, fara, claude, loli","natan, mathil, diggie, fred, mino"
MATCHb996402f1d,MAP64a07d0755b9,2,WSL Season 8,https://liquipedia.net/mobilelegends/WSL/Season_8,B-Tier,Regular Season,WSL/Season 8/Regular Season,2024-01-21,rrq mika,tigerwong white eagles,1,10m 41s,"cici, nolan, lylia, karrie, grock","sun, angela, wan, nana, fara","teri, akai, yve, brody, guin","lunox, mathil, claude, valen, khufra"
MATCHb996402f1d,MAPebfbb60fbff9,1,WSL Season 8,https://liquipedia.net/mobilelegends/WSL/Season_8,B-Tier,Regular Season,WSL/Season 8/Regular Season,2024-01-21,rrq mika,tigerwong white eagles,1,11m 29s,"cici, martis, nova, brody, estes","mathil, guin, sun, tigreal, mino","arlot, fred, nana, bruno, diggie","claude, wan, nolan, kaja, baxia"
MATCHb44dde74b1,MAPe5872b7e7059,3,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-21,JRS Esports,404 Gaming,1,19m 54s,"arlot, fred, nana, claude, tigreal","nolan, joy, mathil, yu, fanny","lapu, baxia, angela, karrie, guin","wan, cici, fara, thamuz, khaleed"
MATCHb44dde74b1,MAP12740f7acbb5,2,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-21,JRS Esports,404 Gaming,1,13m 22s,"khaleed, fred, nova, claude, mathil","fara, joy, nolan, karrie, fanny","ruby, helcurt, nana, irithel, mino","wan, cici, guin, martis, thamuz"
MATCH9d4b632dca,MAPbbc2feb91107,2,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-27,Super Logic,Chaotic Samurai,1,23m 22s,"lapu, fanny, fara, claude, grock","ruby, lunox, mino, nana, valen","teri, bane, joy, karrie, tigreal","wan, guin, nolan, khuf, arlot"
MATCH6a0c7c3dc5,MAP74b6a1a089a1,1,MPL Cambodia Season 6,https://liquipedia.net/mobilelegends/MPL/Cambodia/Season_6,A-Tier,Qualifier,MPL/Cambodia/Season 6/Qualifier,2024-01-27,OSJA Esports,JRS Esports,2,14m 41s,"arlot, joy, vexana, claude, mathil","fara, guin, angela, brody, paq","thamuz, lunox, nana, bruno, mino","wan, nolan, cici, lylia, nova"
