map_id,team1_side,team2_side
MAP0296e97f73b4,red,blue
MAP8e0be4325e20,red,blue
MAPc7d64a8a58f1,blue,red
MAP993f14766a3b,red,blue
MAP1b2fcd1d29af,blue,red
MAP56d1e73609c6,blue,red
MAPb923b55bcd35,red,blue
MAPf6445c10b09a,red,blue
MAPceccee99283f,red,blue
MAPf04224541c80,red,blue
MAPbbf6cde60a24,blue,red
MAPd991908282de,blue,red
MAPc87a4fd1a542,red,blue
MAP2f2839aee6be,blue,red
MAP8edeeb812b1e,blue,red
MAP8e8f8dd34a07,red,blue
MAPb84763cb29b8,blue,red
MAP51c55690d4c2,blue,red
MAP3ed632051161,blue,red
MAPc9a26b89bb37,blue,red
MAPcda46e1d4190,red,blue
MAPff325a265fc2,blue,red
MAP31dadcf28c76,blue,red
MAPc3bd652122e0,red,blue
MAP353e8396566c,blue,red
MAP112d0bc61fb5,blue,red
MAP6a82419c5ff8,blue,red
MAP66b83f8138f6,blue,red
MAP0db674cc2451,blue,red
MAPaa756992392f,blue,red
MAPda95e132dcc5,red,blue
MAPb5a1e5a34569,red,blue
MAPa81efc62e60e,blue,red
MAP4702118e6ee5,red,blue
MAPbe1edc596fea,red,blue
MAPd7c3ff84e2f6,blue,red
MAP8a516a9fffd9,blue,red
MAP06444ae33d16,red,blue
MAPd1b317ff8417,red,blue
MAP89ccc58ad2a3,blue,red
MAP90c262c2edaf,red,blue
MAP03d486f073ef,blue,red
MAPa445e381af4b,blue,red
MAPee983426f714,red,blue
MAP858562cbc1f0,blue,red
MAP642af05f5d06,red,blue
MAPc656392eb569,red,blue
MAP86af190060ff,red,blue
MAPf2ac820443c8,red,blue
MAPbb3df2928b84,blue,red
MAPe6d806382ccc,red,blue
MAP9254c9e19c81,blue,red
MAPcd73cdf75744,red,blue
MAP78e3935d285b,blue,red
MAP48132d5e1506,blue,red
MAP802df6231893,blue,red
MAP27902232659d,blue,red
MAPa208f77bc8b2,red,blue
MAPe4059301fbe5,blue,red
MAPfd51a4a4046d,blue,red
MAPcbee033151c0,red,blue
MAPa0df7625295f,red,blue
MAPb801475353bc,red,blue
MAP64d9ca47fcb5,red,blue
MAPc38d07c39b74,blue,red
MAP36785420dcbf,red,blue
MAP5ec634918390,blue,red
MAP87c454b06f7f,red,blue
MAPec7eb74f6728,red,blue
MAPfb720d714a45,red,blue
MAP22e6d905f46c,red,blue
MAPa84605b06410,red,blue
MAPb5a9dd62b9bd,blue,red
MAP735477f47593,blue,red
MAP83accf995294,red,blue
MAPf5f73b6c6005,blue,red
MAP42d4fd2b9882,red,blue
MAPcdcda798cc5e,red,blue
MAP8480f52362ec,blue,red
MAP4e4a58d48cae,blue,red
MAP10580e0b4d62,blue,red
MAP03f34dd4d6af,red,blue
MAP654b2e764599,blue,red
MAP0bca271402ee,blue,red
MAPe85bccb42078,red,blue
MAP0fb3ae07ad42,red,blue
MAP9e19fee3ad59,blue,red
MAP89c30bb99461,red,blue
MAP18a2f790b682,red,blue
MAP84f36f9f6a4a,red,blue
MAP55552e869c3b,blue,red
MAP6fae9110e98e,red,blue
MAP90a5bb79dda2,blue,red
MAP07fce45fbd02,red,blue
MAP494c4b705894,blue,red
MAP71af0164c5c9,red,blue
MAP3c9d914c7164,blue,red
MAP884560b34d99,red,blue
MAP2f566314f96e,blue,red
MAPf7804add5b22,blue,red
MAPcba3130cac36,red,blue
MAP2ccbbd52e2a6,blue,red
MAPd5055ee64256,red,blue
MAPcca980802a65,red,blue
MAP83b9f1e3ef05,blue,red
MAPc9d12becb604,red,blue
MAPf1d2d1c28171,blue,red
MAPb6ec3449a14a,blue,red
MAPe9b64b7e4197,blue,red
MAP346a67dd1d8e,red,blue
MAP3d512ce1904b,red,blue
MAP3ea9ddc226ea,blue,red
MAP3f7643629e4d,blue,red
MAP48087d9b1fda,red,blue
MAP11d45324db43,blue,red
MAPa484d87c2e3c,blue,red
MAP077c24a7f150,red,blue
MAP265f331c815f,red,blue
MAPf438c207b426,red,blue
MAP2c28c68a8a0a,red,blue
MAP24739f0d3a49,blue,red
MAPd8d3b9a29f94,red,blue
MAP5ef30d9ab963,blue,red
MAPdcf8715d7a03,red,blue
MAPc1e43e1943d5,red,blue
MAPdb9a32230186,blue,red
MAP07d435cc98bc,blue,red
MAP61303509df26,blue,red
MAP55e7c4aef890,blue,red
MAPcba4653d6a39,blue,red
MAP690f820f8067,blue,red
MAP8c9dbb4d6772,red,blue
MAP6d0ab12c73bb,blue,red
MAP6a066948e364,blue,red
MAPe76e182dc3fd,blue,red
MAPf51fb5d264c0,blue,red
MAP2263a71826f5,red,blue
MAP958208e34ac9,red,blue
