match_id,map_id,game_number,tournament_name,tournament_url,tier,tournament_stage,liquipedia_path,match_date,team1,team2,winner,duration,team1_picks,team1_bans,team2_picks,team2_bans
MATCH5ebf6583a5,MAP7466b3e7f36b,2,WSL Season 6,https://liquipedia.net/mobilelegends/WSL/Season_6,B-Tier,Regular Season,WSL/Season 6/Regular Season,2023-01-17,Foes Win,GPX Basreng,2,12m 56s,"hilda, bene, lylia, brody, lolita","wan, joy, gloo, estes, martis","lapu, akai, yve, karrie, atlas","aamon, fred, haya, ling, gs"
MATCH5ebf6583a5,MAP76eb4613f945,1,WSL Season 6,https://liquipedia.net/mobilelegends/WSL/Season_6,B-Tier,Regular Season,WSL/Season 6/Regular Season,2023-01-17,Foes Win,GPX Basreng,2,13m 19s,"masha, barats, cecilion, karrie, diggie","wan, haya, joy, valen, fara","fred, ling, xavier, brody, lolita","gloo, yve, aamon, akai, martis"
MATCH85626e8803,MAPb668e4b7d592,2,WSL Season 6,https://liquipedia.net/mobilelegends/WSL/Season_6,B-Tier,Regular Season,WSL/Season 6/Regular Season,2023-01-17,Aura Phoenix,Bigetron Era,2,9m 6s,"yz, alpha, faramis, bea, mathil","karrie, gloo, yve, claude, estes","grock, fred, pharsa, bruno, lolita","wan, joy, haya, martis, barats"
MATCH85626e8803,MAP84a6a2dc8f24,1,WSL Season 6,https://liquipedia.net/mobilelegends/WSL/Season_6,B-Tier,Regular Season,WSL/Season 6/Regular Season,2023-01-17,Aura Phoenix,Bigetron Era,2,11m 35s,"fred, ling, xavier, melis, grock","karrie, haya, mathil, pharsa, lolita","joy, martis, kadita, brody, chou","wan, gloo, yve, bea, kaja"
MATCHdb73da8857,MAP08d334f9487f,1,WSL Season 6,https://liquipedia.net/mobilelegends/WSL/Season_6,B-Tier,Regular Season,WSL/Season 6/Regular Season,2023-01-18,Tiger Wong Seiren,RRQ Mika,1,29m 10s,"lapu, akai, valen, karrie, atlas","joy, haya, faramis, ling, lolita","bene, fred, xavier, brody, diggie","wan, yve, gloo, kaja, mathil"
MATCH1bf721ffad,MAP71ea915a7622,2,WSL Season 6,https://liquipedia.net/mobilelegends/WSL/Season_6,B-Tier,Regular Season,WSL/Season 6/Regular Season,2023-01-18,GPX Basreng,Nigma Galaxy,1,14m 8s,"yz, martis, fara, wan, atlas","fred, masha, haya, karina, karrie","lapu, fanny, valen, melis, lolita","gloo, yve, joy, franco, khufra"
MATCH1bf721ffad,MAPf9a9e8d5a002,1,WSL Season 6,https://liquipedia.net/mobilelegends/WSL/Season_6,B-Tier,Regular Season,WSL/Season 6/Regular Season,2023-01-18,GPX Basreng,Nigma Galaxy,1,13m 16s,"masha, fred, lunox, karrie, lolita","yve, gloo, haya, atlas, estes","yz, martis, faramis, brody, rafaela","valen, joy, wan, lylia, xavier"
MATCHdb73da8857,MAP432d8f59ba43,3,WSL Season 6,https://liquipedia.net/mobilelegends/WSL/Season_6,B-Tier,Regular Season,WSL/Season 6/Regular Season,2023-01-18,Tiger Wong Seiren,RRQ Mika,2,23m 16s,"bene, grock, fara, brody, estes","haya, karrie, pharsa, ling, aamon","yz, granger, lylia, bea, hilda","wan, yve, gloo, harith, martis"
MATCHdb73da8857,MAP0a4ec15d82c4,2,WSL Season 6,https://liquipedia.net/mobilelegends/WSL/Season_6,B-Tier,Regular Season,WSL/Season 6/Regular Season,2023-01-18,Tiger Wong Seiren,RRQ Mika,2,14m 46s,"esme, fred, pharsa, bea, lolita","haya, karrie, fara, ling, aamon","lapu, lunox, valen, clint, kaja","wan, yve, gloo, bene, estes"
MATCH8f2efe18d7,MAP259583e70e4a,1,WSL Season 6,https://liquipedia.net/mobilelegends/WSL/Season_6,B-Tier,Regular Season,WSL/Season 6/Regular Season,2023-01-19,Bigetron Era,MBR Delphyne,1,19m 2s,"lapu, fred, harley, karrie, kaja","gloo, yve, wan, martis, atlas","yz, karina, xavier, brody, ruby","faramis, diggie, hayabusa, kadita, lolita"
MATCH8f2efe18d7,MAPd7f29b2fd828,2,WSL Season 6,https://liquipedia.net/mobilelegends/WSL/Season_6,B-Tier,Regular Season,WSL/Season 6/Regular Season,2023-01-19,Bigetron Era,MBR Delphyne,1,14m 37s,"yz, bene, yve, brody, franco","kaja, haya, wanwan, akai, fanny","lapu, guinevere, pharsa, bea, chou","xavier, faramis, gloo, ling, karina"
MATCH085492b06a,MAP6e9b8ebb901f,3,WSL Season 6,https://liquipedia.net/mobilelegends/WSL/Season_6,B-Tier,Regular Season,WSL/Season 6/Regular Season,2023-01-19,Nigma Galaxy,RRQ Mika,2,12m 35s,"joy, martis, pharsa, melis, lolita","yve, valen, gloo, lapu, lylia","fred, lunox, kadita, wan, kaja","haya, fara, karrie, ling, masha"
MATCH085492b06a,MAP8114d3b20a2a,2,WSL Season 6,https://liquipedia.net/mobilelegends/WSL/Season_6,B-Tier,Regular Season,WSL/Season 6/Regular Season,2023-01-19,Nigma Galaxy,RRQ Mika,2,17m 30s,"bene, fanny, yve, bea, hilda","fred, valen, joy, claude, lapu","grock, haya, fara, brody, baxia","wan, gloo, karrie, masha, martis"
MATCH085492b06a,MAP0c1db3a3fc71,1,WSL Season 6,https://liquipedia.net/mobilelegends/WSL/Season_6,B-Tier,Regular Season,WSL/Season 6/Regular Season,2023-01-19,Nigma Galaxy,RRQ Mika,1,13m 27s,"lapu, fred, lylia, claude, mathil","haya, joy, yve, ling, kaja","yz, dyr, pharsa, karrie, diggie","wan, fara, gloo, lolita, estes"
MATCH52287ca35e,MAP3c4bda80f006,1,WSL Season 6,https://liquipedia.net/mobilelegends/WSL/Season_6,B-Tier,Regular Season,WSL/Season 6/Regular Season,2023-01-20,Tiger Wong Seiren,GPX Basreng,2,19m 43s,"bene, akai, valen, bea, kaja","karrie, haya, joy, yz, lapu","masha, barats, lunox, wan, estes","yve, gloo, fred, brody, claude"
MATCH52287ca35e,MAPbf33c7b2ce83,2,WSL Season 6,https://liquipedia.net/mobilelegends/WSL/Season_6,B-Tier,Regular Season,WSL/Season 6/Regular Season,2023-01-20,Tiger Wong Seiren,GPX Basreng,2,12m 9s,"lapu, fred, lylia, harith, kadita","gloo, kaja, karrie, joy, martis","yz, akai, yve, brody, grock","wan, fara, haya, claude, clint"
