map_id,team1_side,team2_side
MAPd8570b87c366,blue,red
MAP52cbf9ad7bfb,blue,red
MAPe82568bf34f9,red,blue
MAP8245322f11e2,blue,red
MAP9a2072f8435d,blue,red
MAP1e05268e7338,blue,red
MAP703d018dd238,blue,red
MAP886e3e1c838a,red,blue
MAP1d5ff3aba978,red,blue
MAP3725398afff2,blue,red
MAPc3022ac16a50,blue,red
MAP28da176638d4,blue,red
MAP9f18ee9b363b,blue,red
MAP37a5a789c31c,red,blue
MAP50c914de23e1,blue,red
MAP1596e394d257,red,blue
MAP80785c9e1ce8,blue,red
MAPfbf62cdd5075,red,blue
MAPbbc427153089,blue,red
MAP757b15e167d1,red,blue
MAPfeebe1635c55,blue,red
MAP83a47005704e,blue,red
MAPee17cc488115,red,blue
MAP290731fe7ea0,blue,red
MAP7bf37840a48b,blue,red
MAP86bb10988ab8,red,blue
MAP66f18798fd28,red,blue
MAPbcbeb3256c8e,red,blue
MAPe57144177dc3,red,blue
MAP8f0c4905834c,red,blue
MAP6ce30dece0a8,red,blue
MAP81e0f846cf40,blue,red
MAPd944c085c421,red,blue
MAP11b52dbbeafb,blue,red
MAP5b373ee3743d,red,blue
MAPfc0799830127,blue,red
MAP99482d8b9101,red,blue
MAP2327da917a7b,blue,red
MAPa1bb868e1edc,red,blue
MAP76962856e1fe,red,blue
MAP68c760461934,blue,red
MAP17deecf3e40b,blue,red
MAP790efa67e7bb,red,blue
MAP11788e58ab9e,blue,red
MAP00d27e5010e8,blue,red
MAPb5772e6f62bc,red,blue
MAP2f0f5bb5a81f,blue,red
MAP0305a168ad37,red,blue
MAPde76ce9c845a,blue,red
MAPee2c335011b1,red,blue
MAP468d13b853f8,red,blue
MAP5ee4312d75f0,red,blue
MAP95e125a15379,blue,red
MAP816e3469d01c,red,blue
MAP127ef937b532,red,blue
MAPa6043e71f0dc,red,blue
MAP41ece53473f4,red,blue
MAPb134ed06371a,red,blue
MAP3b93cd267c28,blue,red
MAP16ce47f918b3,red,blue
MAP4f4c08d5899e,blue,red
MAPc8118194dbdd,red,blue
MAP4d83de5db816,blue,red
MAP9b5ce28459a8,red,blue
MAP7ae4bbaf1250,blue,red
MAP6ea6b087c4ff,red,blue
MAP54884d0c81e5,red,blue
MAP0716b1c8942c,blue,red
MAPc9a834058292,blue,red
MAPfc60fd2c043c,red,blue
MAP84f12d8e282e,red,blue
MAP586abde64fb4,red,blue
MAPb59577e38d2f,blue,red
MAPe0bd39a676ec,red,blue
MAPe62c1a322391,red,blue
MAPdacd5a999192,blue,red
MAP55067ca4eb0a,blue,red
MAPe56a0caabe37,red,blue
MAPf8256a34e2d1,red,blue
MAP6396c2372864,red,blue
MAP5df24424f6e7,blue,red
MAP79851542f1d3,red,blue
MAP0d7abaede221,blue,red
MAP490a1ce8f160,blue,red
MAPe64d840ce9b3,blue,red
MAP737fd64e11bf,blue,red
MAPede0dac5fd0e,red,blue
MAP2596198e1414,red,blue
MAP331c606821ef,red,blue
MAPe6976cdb0757,red,blue
MAP53a94d9972aa,blue,red
MAP0532fc2fde8d,blue,red
MAP06912c1cf069,blue,red
MAP9226c5e2be9c,red,blue
MAPa7f3156a5bca,blue,red
MAP99b86786ea20,blue,red
MAP300c5179dba0,red,blue
MAP07ff4d9015b9,blue,red
MAPd7fd5b7ae5cf,blue,red
MAPaa153cf8c4d2,blue,red
MAPd8417b5447e0,red,blue
MAP1f72c95ded82,blue,red
MAPe9983520eec1,red,blue
MAPd397f96b134d,blue,red
MAP95a34549ef65,blue,red
MAP3c1a07c73fcb,blue,red
